timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,decoder_implementation
209151328,1923,0,1923,31,42962.6,1920,1080,13202.7,128394717,1.27082e+07,1.57791e+07,libvpx
209152330,1953,0,1953,30,43468.9,1920,1080,13425.4,129955628,1.24624e+07,1.57288e+07,libvpx
209153330,1982.2,0,1982.2,29.2,44052.6,1920,1080,13642.9,131661455,1.36466e+07,1.56978e+07,libvpx
209154331,2012.4,0,2012.4,30.2,44724.9,1920,1080,13872.6,133357661,1.35561e+07,1.56663e+07,libvpx
209155333,2043,0,2043,30.4,45348.1,1920,1080,14102.3,135095099,1.38718e+07,1.56403e+07,libvpx
209156333,2072.4,0,2072.4,29.4,45975.1,1920,1080,14312.4,136796614,1.36121e+07,1.56114e+07,libvpx
209157334,2102.6,0,2102.6,30,46574.9,1920,1080,14527.5,138506116,1.36624e+07,1.55839e+07,libvpx
209158335,2132.8,0,2132.8,30.2,47332.4,1920,1080,14742.8,140224528,1.37336e+07,1.55582e+07,libvpx
209159337,2163,0,2163,30,48029.9,1920,1080,14959.2,141986945,1.40712e+07,1.55379e+07,libvpx
209160339,2192.6,0,2192.6,29.6,48792.4,1920,1080,15174.2,143723645,1.38659e+07,1.55153e+07,libvpx
209161340,2222.8,0,2222.8,30,49535.9,1920,1080,15387.8,145468208,1.39426e+07,1.54943e+07,libvpx
209162341,2252.8,0,2252.8,29.8,50269.3,1920,1080,15595.2,147218151,1.39856e+07,1.54745e+07,libvpx
209163343,2283,0,2283,30,50884.7,1920,1080,15804.6,148914127,1.35407e+07,1.54493e+07,libvpx
209164344,2313,0,2313,30,51490.2,1920,1080,16024.1,150697314,1.42512e+07,1.5434e+07,libvpx
209165345,2343,0,2343,30,52164.3,1920,1080,16246.8,152444557,1.3964e+07,1.54154e+07,libvpx
209166346,2373,0,2373,30,52775.1,1920,1080,16461.4,154212925,1.41328e+07,1.53993e+07,libvpx
209167348,2402.8,0,2402.8,29.8,53520.6,1920,1080,16679.7,156052643,1.46884e+07,1.53906e+07,libvpx
209168349,2433,0,2433,30.2,54288.8,1920,1080,16904.6,157854063,1.4397e+07,1.53785e+07,libvpx
209169350,2463.2,0,2463.2,30,54969,1920,1080,17122.6,159532511,1.34142e+07,1.53548e+07,libvpx
209170352,2493.2,0,2493.2,29.6,55671.1,1920,1080,17348.8,161281809,1.39665e+07,1.53383e+07,libvpx
209171354,2523.2,0,2523.2,29.8,56316,1920,1080,17579.9,163018919,1.38691e+07,1.5321e+07,libvpx
209172355,2553.4,0,2553.4,30,57004.1,1920,1080,17793.6,164803763,1.42645e+07,1.53087e+07,libvpx
209173356,2583.4,0,2583.4,30,57672.7,1920,1080,18005.2,166652872,1.47781e+07,1.53026e+07,libvpx
209174357,2613,0,2613,29.6,58381.6,1920,1080,18217.4,168484762,1.46405e+07,1.52951e+07,libvpx
209175358,2644,0,2644,31,59150.4,1920,1080,18432.3,170260010,1.41878e+07,1.52826e+07,libvpx
209176360,2673.8,0,2673.8,29.8,59898.9,1920,1080,18646.1,172105803,1.47369e+07,1.52766e+07,libvpx
209177361,2703.2,0,2703.2,29.4,60684.6,1920,1080,18841.9,173939806,1.46574e+07,1.52698e+07,libvpx
209178362,2733.6,0,2733.6,30.4,61530.4,1920,1080,19058.1,175798948,1.48583e+07,1.52653e+07,libvpx
209179363,2764,0,2764,30.4,62281.8,1920,1080,19280.4,177654088,1.48263e+07,1.52606e+07,libvpx
209180364,2793.6,0,2793.6,29.6,63052,1920,1080,19501.4,179488768,1.46628e+07,1.52542e+07,libvpx
209181369,2823.6,0,2823.6,29.8,63840.2,1920,1080,19747.7,181297399,1.43971e+07,1.52452e+07,libvpx
209182370,2853.8,0,2853.8,30,64553.8,1920,1080,19982.9,183184702,1.50833e+07,1.52435e+07,libvpx
209183373,2883.4,0,2883.4,29.6,65367.1,1920,1080,20207.2,185121378,1.54471e+07,1.52456e+07,libvpx
209184375,2914,0,2914,30.6,66090.5,1920,1080,20433.5,186995702,1.49647e+07,1.52427e+07,libvpx
209185376,2944,0,2944,30,66834.9,1920,1080,20651,189000460,1.6022e+07,1.52506e+07,libvpx
209186377,2974,0,2974,30,67598.1,1920,1080,20874.6,191115631,1.69045e+07,1.52671e+07,libvpx
209187378,3004,0,3004,30,68411.1,1920,1080,21122,193530823,1.93022e+07,1.5307e+07,libvpx
209188381,3033.8,0,3033.8,29.8,69255.4,1920,1080,21378.1,196266531,2.18202e+07,1.5371e+07,libvpx
209189382,3063.6,0,3063.6,29.8,70110.6,1920,1080,21658.6,199149661,2.3042e+07,1.54454e+07,libvpx
209190384,3093.8,0,3093.8,30,70926.8,1920,1080,21927.9,201868750,2.17093e+07,1.55057e+07,libvpx
209191386,3117,0,3117,23.2,71886.7,1920,1080,22153.1,204003547,1.70443e+07,1.55204e+07,libvpx
209192387,3141.2,0,3141.2,24.2,72782.4,1920,1080,22355.4,205621459,1.29304e+07,1.54959e+07,libvpx
209193388,3173,0,3173,31.8,73180,1920,1080,22542.6,206366392,5.95351e+06,1.54068e+07,libvpx
209194390,3203,0,3203,30,73469.6,1920,1080,22726.4,207091329,5.78792e+06,1.53177e+07,libvpx
209195392,3233,0,3233,30,73819.8,1920,1080,22931.2,207935707,6.74154e+06,1.5239e+07,libvpx
209196393,3263,0,3263,30,74190.4,1920,1080,23121.7,208781499,6.75958e+06,1.51619e+07,libvpx
209197394,3293,0,3293,30,74443.9,1920,1080,23305.3,209668262,7.08702e+06,1.50892e+07,libvpx
209198395,3322.6,0,3322.6,29.6,74749.8,1920,1080,23499.3,210638812,7.75664e+06,1.50238e+07,libvpx
209199396,3353,0,3353,30.4,75112.9,1920,1080,23698.2,211480085,6.72346e+06,1.49503e+07,libvpx
209200398,3383,0,3383,30,75421.5,1920,1080,23905.7,212421273,7.51448e+06,1.48851e+07,libvpx
209201402,3412.8,0,3412.8,29.8,75849.3,1920,1080,24097.2,213406161,7.84771e+06,1.48237e+07,libvpx
209202403,3443,0,3443,30.2,76214.4,1920,1080,24284,214292852,7.08644e+06,1.47571e+07,libvpx
209203404,3473,0,3473,30,76468.4,1920,1080,24480.4,215187050,7.14644e+06,1.4692e+07,libvpx
209204405,3503,0,3503,30,76729.5,1920,1080,24683.1,216130741,7.54199e+06,1.46315e+07,libvpx
209205407,3532.8,0,3532.8,29.8,77043.9,1920,1080,24880.2,217086535,7.63109e+06,1.45726e+07,libvpx
209206409,3563.2,0,3563.2,30.4,77472.5,1920,1080,25084.7,218085298,7.97416e+06,1.45176e+07,libvpx
209207412,3593.4,0,3593.4,30,77889.8,1920,1080,25279.9,218988749,7.20599e+06,1.44571e+07,libvpx
209208413,3623.4,0,3623.4,29.6,78287.6,1920,1080,25474,219938946,7.59398e+06,1.44009e+07,libvpx
209209415,3653.6,0,3653.6,30.2,78635.8,1920,1080,25675.1,220914920,7.79221e+06,1.43471e+07,libvpx
209210417,3684,0,3684,30.4,79060.9,1920,1080,25863.4,221830376,7.30903e+06,1.42903e+07,libvpx
209211418,3714,0,3714,30,79393,1920,1080,26056.8,222804180,7.78265e+06,1.42383e+07,libvpx
209212420,3743.6,0,3743.6,29.6,79710.6,1920,1080,26254,223784116,7.82384e+06,1.41873e+07,libvpx
209213422,3773.8,0,3773.8,30.2,80157.9,1920,1080,26455.3,224824045,8.30283e+06,1.4141e+07,libvpx
209214423,3804,0,3804,30,80510.5,1920,1080,26643,225665656,6.72616e+06,1.40831e+07,libvpx
209215425,3833.8,0,3833.8,29.8,80906,1920,1080,26827.3,226691244,8.18833e+06,1.40374e+07,libvpx
209216427,3863.8,0,3863.8,29.8,81446.9,1920,1080,27013.7,227711127,8.14278e+06,1.3992e+07,libvpx
209217428,3894,0,3894,30.2,81798.9,1920,1080,27211.6,228727921,8.12623e+06,1.39472e+07,libvpx
209218430,3924,0,3924,30,82152.9,1920,1080,27411.7,229856165,9.00794e+06,1.39098e+07,libvpx
209219431,3954,0,3954,30,82511.2,1920,1080,27624.3,231048614,9.53006e+06,1.38769e+07,libvpx
209220432,3984,0,3984,30,82931.2,1920,1080,27836.1,232366417,1.05319e+07,1.38519e+07,libvpx
209221434,4013.8,0,4013.8,29.8,83454.1,1920,1080,28042.1,233817388,1.15846e+07,1.38351e+07,libvpx
209222435,4043.8,0,4043.8,30,84034.5,1920,1080,28271.8,235406029,1.26964e+07,1.38268e+07,libvpx
209223437,4073.8,0,4073.8,30,84612.1,1920,1080,28482.9,237026056,1.29343e+07,1.38203e+07,libvpx
209224438,4103.8,0,4103.8,30,85266.9,1920,1080,28702.1,238776415,1.39889e+07,1.38215e+07,libvpx
209225439,4134,0,4134,30.2,85935.5,1920,1080,28916,240501347,1.37857e+07,1.38212e+07,libvpx
209226440,4164,0,4164,30,86621.5,1920,1080,29129.3,242473646,1.57626e+07,1.38351e+07,libvpx
209227442,4194,0,4194,30,87428.9,1920,1080,29351.4,244713253,1.78811e+07,1.38638e+07,libvpx
209228443,4224,0,4224,30,88263.2,1920,1080,29577.3,247097159,1.90522e+07,1.39003e+07,libvpx
209229444,4253.6,0,4253.6,29.6,89147,1920,1080,29821.4,249691691,2.07355e+07,1.39481e+07,libvpx
